identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
*.henkel.com,WILDCARD,"",false,true,,,,critical,,2025-10-10 06:51:49 UTC,2025-10-10 06:51:49 UTC
*.donnad.it,WILDCARD,"",false,true,,,,critical,,2025-10-10 06:52:23 UTC,2025-10-10 06:52:23 UTC
*.gliss.com,WILDCARD,"",false,true,,,,critical,,2025-10-10 06:52:45 UTC,2025-10-10 06:52:45 UTC
*.got2b.com,WILDCARD,"",false,true,,,,critical,,2025-10-10 06:59:09 UTC,2025-10-10 06:59:09 UTC
*.henkel-adhesives.cn,WILDCARD,"",false,true,,,,critical,,2025-10-10 06:59:32 UTC,2025-10-10 06:59:32 UTC
*.henkel-adhesives.com,WILDCARD,"",false,true,,,,critical,,2025-10-10 06:59:58 UTC,2025-10-10 06:59:58 UTC
*.henkelgroup.cloud,WILDCARD,"",false,true,,,,critical,,2025-10-10 07:00:25 UTC,2025-10-10 07:00:25 UTC
*.henkelgroup.net,WILDCARD,"",false,true,,,,critical,,2025-10-10 07:00:55 UTC,2025-10-10 07:00:55 UTC
*.labelleadresse.com,WILDCARD,"",false,true,,,,critical,,2025-10-10 07:01:28 UTC,2025-10-10 07:01:28 UTC
*.livecolour.com,WILDCARD,"",false,true,,,,critical,,2025-10-10 07:02:01 UTC,2025-10-10 07:02:01 UTC
*.persil.de,WILDCARD,"",false,true,,,,critical,,2025-10-10 07:02:30 UTC,2025-10-10 07:02:30 UTC
*.raqn.io,WILDCARD,"",false,true,,,,critical,,2025-10-10 07:02:59 UTC,2025-10-10 07:02:59 UTC
*.schwarzkopf.de,WILDCARD,"",false,true,,,,critical,,2025-10-10 07:03:22 UTC,2025-10-10 07:03:22 UTC
*.sexyhair.com,WILDCARD,"",false,true,,,,critical,,2025-10-10 07:03:46 UTC,2025-10-10 07:03:46 UTC
*.syoss.de,WILDCARD,"",false,true,,,,critical,,2025-10-10 07:04:10 UTC,2025-10-10 07:04:10 UTC
*.askteamclean.*,WILDCARD,askteamclean scope including any TLD,false,true,,,,critical,,2025-10-10 07:05:20 UTC,2025-10-10 07:08:38 UTC
*.authenticbeautyconcept.*,WILDCARD,authenticbeautyconcept scope including any TLD,false,true,,,,critical,,2025-10-10 07:06:18 UTC,2025-10-10 07:08:51 UTC
*.ceresit.*,WILDCARD,ceresit scope including any TLD,false,true,,,,critical,,2025-10-10 07:06:46 UTC,2025-10-10 07:09:03 UTC
*.indola.*,WILDCARD,indola scope including any TLD,false,true,,,,critical,,2025-10-10 07:07:21 UTC,2025-10-10 07:09:12 UTC
*.pattex.*,WILDCARD,pattex scope including any TLD,false,true,,,,critical,,2025-10-10 07:09:59 UTC,2025-10-10 07:10:07 UTC
*.perwoll.*,WILDCARD,perwoll scope including any TLD,false,true,,,,critical,,2025-10-10 07:10:43 UTC,2025-10-10 07:10:49 UTC
*.prittworld.*,WILDCARD,prittworld scope including any TLD,false,true,,,,critical,,2025-10-10 07:13:34 UTC,2025-10-10 07:13:41 UTC
*.schwarzkopf.*,WILDCARD,schwarzkopf scope including any TLD,false,true,,,,critical,,2025-10-10 07:14:17 UTC,2025-10-10 07:14:27 UTC
*.schwarzkopfpalette.*,WILDCARD,schwarzkopfpalette scope including any TLD,false,true,,,,critical,,2025-10-10 07:15:04 UTC,2025-10-10 07:15:11 UTC
*.silan.*,WILDCARD,silan scope including any TLD,false,true,,,,critical,,2025-10-10 07:15:39 UTC,2025-10-10 07:15:45 UTC
*.somat.*,WILDCARD,somat scope including any TLD,false,true,,,,critical,,2025-10-10 07:16:13 UTC,2025-10-10 07:16:20 UTC
*.stmntgrooming.*,WILDCARD,stmntgrooming scope including any TLD,false,true,,,,critical,,2025-10-10 07:16:44 UTC,2025-10-10 07:16:51 UTC
*.syoss.*,WILDCARD,syoss scope including any TLD,false,true,,,,critical,,2025-10-10 07:17:21 UTC,2025-10-10 07:17:21 UTC
*.taft.*,WILDCARD,taft scope including any TLD,false,true,,,,critical,,2025-10-10 07:17:48 UTC,2025-10-10 07:17:48 UTC
*.teroson.*,WILDCARD,teroson scope including any TLD,false,true,,,,critical,,2025-10-10 07:18:11 UTC,2025-10-10 07:18:11 UTC
www.joico.ca/,URL,"",false,true,,,,critical,,2025-10-10 12:17:04 UTC,2025-10-10 12:17:04 UTC
www.joico.com.au/,URL,"",false,true,,,,critical,,2025-10-10 12:17:27 UTC,2025-10-10 12:17:27 UTC
www.joico.com.br/,URL,"",false,true,,,,critical,,2025-10-10 12:17:46 UTC,2025-10-10 12:17:46 UTC
www.joico.com/,URL,"",false,true,,,,critical,,2025-10-10 12:18:15 UTC,2025-10-10 12:18:15 UTC
www.joico.eu/,URL,"",false,true,,,,critical,,2025-10-10 12:18:33 UTC,2025-10-10 12:18:33 UTC
www.joico.lat/,URL,"",false,true,,,,critical,,2025-10-10 12:18:49 UTC,2025-10-10 12:18:49 UTC
aliportal-dev.henkel.cn,URL,"",false,true,,,,critical,,2025-10-10 12:19:17 UTC,2025-10-10 12:19:17 UTC
aigc.henkel.cn,URL,"",false,true,,,,critical,,2025-10-10 12:19:33 UTC,2025-10-10 12:19:33 UTC
aigc.magic-mirror.cn,URL,"",false,true,,,,critical,,2025-10-10 12:19:50 UTC,2025-10-10 12:19:50 UTC
aliyunportal-dev.henkel.cn,URL,"",false,true,,,,critical,,2025-10-10 12:20:32 UTC,2025-10-10 12:20:32 UTC
aliportal.henkel.cn,URL,"",false,true,,,,critical,,2025-10-10 12:21:15 UTC,2025-10-10 12:21:15 UTC
aliyunportal.henkel.cn,URL,"",false,true,,,,critical,,2025-10-10 12:21:51 UTC,2025-10-10 12:21:51 UTC
alternahaircare.com.cn,URL,"",false,true,,,,critical,,2025-10-10 12:22:25 UTC,2025-10-10 12:22:25 UTC
alternahaircare.cn,URL,"",false,true,,,,critical,,2025-10-10 12:22:43 UTC,2025-10-10 12:22:43 UTC
api.ar.magic-mirror.cn,URL,"",false,true,,,,critical,,2025-10-10 12:23:02 UTC,2025-10-10 12:23:02 UTC
api.mini.magic-mirror.cn,URL,"",false,true,,,,critical,,2025-10-10 12:23:21 UTC,2025-10-10 12:23:21 UTC
auth.eshop-henkel-adhesives.cn,URL,"",false,true,,,,critical,,2025-10-10 12:23:45 UTC,2025-10-10 12:23:45 UTC
base.henkel-consumer-brands.cn,URL,"",false,true,,,,critical,,2025-10-10 12:24:04 UTC,2025-10-10 12:24:04 UTC
base-qa.henkel-consumer-brands.cn,URL,"",false,true,,,,critical,,2025-10-10 12:24:20 UTC,2025-10-10 12:24:20 UTC
chatbotdatacon.wechat-henkel-adhesives.cn,URL,"",false,true,,,,critical,,2025-10-10 12:24:45 UTC,2025-10-10 12:24:45 UTC
console.ar.magic-mirror.cn,URL,"",false,true,,,,critical,,2025-10-10 12:25:19 UTC,2025-10-10 12:25:19 UTC
docdownload-webinar.tryloctite.cn,URL,"",false,true,,,,critical,,2025-10-10 12:25:34 UTC,2025-10-10 12:25:34 UTC
fc-qa.henkel-consumer-brands.cn,URL,"",false,true,,,,critical,,2025-10-10 12:25:53 UTC,2025-10-10 12:25:53 UTC
fc.henkel-consumer-brands.cn,URL,"",false,true,,,,critical,,2025-10-10 12:26:09 UTC,2025-10-10 12:26:09 UTC
ipad.shrndconsumer.henkel-consumer-brands.cn,URL,"",false,true,,,,critical,,2025-10-10 12:26:25 UTC,2025-10-10 12:26:25 UTC
k2r-products.cn,URL,"",false,true,,,,critical,,2025-10-10 12:27:29 UTC,2025-10-10 12:27:29 UTC
md.rebate-henkel-adhesives.cn,URL,"",false,true,,,,critical,,2025-10-10 12:27:45 UTC,2025-10-10 12:27:45 UTC
pattex.com.cn,URL,"",false,true,,,,critical,,2025-10-10 12:28:20 UTC,2025-10-10 12:28:20 UTC
scrm-csr.schwarzkopfclub.com.cn,URL,"",false,true,,,,critical,,2025-10-10 12:28:39 UTC,2025-10-10 12:28:39 UTC
scrm-weconnect-api.schwarzkopfclub.com.cn,URL,"",false,true,,,,critical,,2025-10-10 12:29:02 UTC,2025-10-10 12:29:02 UTC
scrm-sreadmin.schwarzkopfclub.com.cn,URL,"",false,true,,,,critical,,2025-10-10 12:29:43 UTC,2025-10-10 12:29:43 UTC
shrndconsumer.henkel-consumer-brands.cn,URL,"",false,true,,,,critical,,2025-10-10 12:29:59 UTC,2025-10-10 12:29:59 UTC
smartshelf.henkel.cn,URL,"",false,true,,,,critical,,2025-10-10 12:30:17 UTC,2025-10-10 12:30:17 UTC
smc-analyzer.henkel-consumer-brands.cn,URL,"",false,true,,,,critical,,2025-10-10 12:30:33 UTC,2025-10-10 12:30:33 UTC
test-api.ar.magic-mirror.cn,URL,"",false,true,,,,critical,,2025-10-10 12:30:52 UTC,2025-10-10 12:30:52 UTC
test-api.mini.magic-mirror.cn,URL,"",false,true,,,,critical,,2025-10-10 12:31:17 UTC,2025-10-10 12:31:17 UTC
test-console.ar.magic-mirror.cn,URL,"",false,true,,,,critical,,2025-10-10 12:31:45 UTC,2025-10-10 12:31:45 UTC
tpm.henkel-consumer-brands.cn,URL,"",false,true,,,,critical,,2025-10-10 12:32:08 UTC,2025-10-10 12:32:08 UTC
tpm-qa.henkel-consumer-brands.cn,URL,"",false,true,,,,critical,,2025-10-10 12:32:37 UTC,2025-10-10 12:32:37 UTC
uat.ipad.shrndconsumer.henkel-consumer-brands.cn,URL,"",false,true,,,,critical,,2025-10-10 12:32:58 UTC,2025-10-10 12:32:58 UTC
uat-smc-analyzer.henkel-consumer-brands.cn,URL,"",false,true,,,,critical,,2025-10-10 12:33:26 UTC,2025-10-10 12:33:26 UTC
uat.www.shrndconsumer.henkel-consumer-brands.cn,URL,"",false,true,,,,critical,,2025-10-10 12:33:45 UTC,2025-10-10 12:33:45 UTC
*.auth.eshop-henkel-adhesives.cn,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:34:25 UTC,2025-10-10 12:34:25 UTC
*.eshop-henkel-adhesives.cn,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:34:38 UTC,2025-10-10 12:34:38 UTC
*.henkel-consumer-brands.cn,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:34:57 UTC,2025-10-10 12:34:57 UTC
*.henkel-researchers-world.cn,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:35:21 UTC,2025-10-10 12:35:21 UTC
*.henkel.cn,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:35:40 UTC,2025-10-10 12:35:40 UTC
*.m.tobcrm-hcb.cn,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:36:21 UTC,2025-10-10 12:36:21 UTC
*.pattex.com.cn,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:43:18 UTC,2025-10-10 12:43:18 UTC
*.smartshelf.henkel.cn,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:43:38 UTC,2025-10-10 12:43:38 UTC
*.tryloctite.cn,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:44:00 UTC,2025-10-10 12:44:00 UTC
*.wechat-henkel-adhesives.cn,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:44:23 UTC,2025-10-10 12:44:23 UTC
*.loctite.com,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:44:52 UTC,2025-10-10 12:44:52 UTC
*.concorsi.loctite-consumer.it,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:45:14 UTC,2025-10-10 12:45:14 UTC
*.henkel-loctite.bg,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:45:38 UTC,2025-10-10 12:45:38 UTC
*.lanzamientos-loctite.com,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:46:18 UTC,2025-10-10 12:46:18 UTC
*.loctite55.be,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:46:47 UTC,2025-10-10 12:46:47 UTC
*.loctite55.ch,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:47:07 UTC,2025-10-10 12:47:07 UTC
*.loctite55.ee,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:47:28 UTC,2025-10-10 12:47:28 UTC
*.loctite55.it,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:47:47 UTC,2025-10-10 12:47:47 UTC
*.loctite55.nl,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:48:08 UTC,2025-10-10 12:48:08 UTC
*.loctiteam.com,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:48:26 UTC,2025-10-10 12:48:26 UTC
*.loctite-consommateur.be,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:48:52 UTC,2025-10-10 12:48:52 UTC
*.loctite-consommateur.fr,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:49:11 UTC,2025-10-10 12:49:11 UTC
*.loctite-consument.be,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:49:28 UTC,2025-10-10 12:49:28 UTC
*.loctite-consument.nl,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:49:48 UTC,2025-10-10 12:49:48 UTC
*.loctite-consumer.co.uk,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:50:05 UTC,2025-10-10 12:50:05 UTC
*.loctite-consumer.com.au,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:50:23 UTC,2025-10-10 12:50:23 UTC
*.loctite-consumer.dk,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:50:41 UTC,2025-10-10 12:50:41 UTC
*.loctite-consumer.fi,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:50:57 UTC,2025-10-10 12:50:57 UTC
*.loctite-consumer.it,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:51:15 UTC,2025-10-10 12:51:15 UTC
*.loctite-consumer.jp,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:51:33 UTC,2025-10-10 12:51:33 UTC
*.loctite-consumer.no,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:51:58 UTC,2025-10-10 12:51:58 UTC
*.loctite-consumer.se,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:52:18 UTC,2025-10-10 12:52:18 UTC
*.loctite-consumidor.co,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:52:36 UTC,2025-10-10 12:52:36 UTC
*.loctite-consumidor.com.sv,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:52:54 UTC,2025-10-10 12:52:54 UTC
*.loctite-consumidor.hn,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:53:10 UTC,2025-10-10 12:53:10 UTC
*.loctite-consumo.com.br,WILDCARD,"",false,true,,,,critical,,2025-10-10 12:53:41 UTC,2025-10-10 12:53:41 UTC
*.loctite-maintenance.be,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:02:16 UTC,2025-10-10 13:02:16 UTC
*.loctite-maintenance.ch,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:02:47 UTC,2025-10-10 13:02:47 UTC
*.loctite-maintenance.es,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:03:10 UTC,2025-10-10 13:03:10 UTC
*.loctite-maintenance.fr,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:03:37 UTC,2025-10-10 13:03:37 UTC
*.loctite-maintenance.it,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:03:57 UTC,2025-10-10 13:03:57 UTC
*.loctite-maintenance.nl,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:04:18 UTC,2025-10-10 13:04:18 UTC
*.loctite-maintenance.pl,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:04:37 UTC,2025-10-10 13:04:37 UTC
*.loctiteproducts.com,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:05:02 UTC,2025-10-10 13:05:02 UTC
*.loctite-proizvodi-za-odrzavanje.hr,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:05:20 UTC,2025-10-10 13:05:20 UTC
*.loctitesolutions.nl,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:06:58 UTC,2025-10-10 13:06:58 UTC
*.loctite-superbond.com.hr,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:07:49 UTC,2025-10-10 13:07:49 UTC
*.loctite-superbond.hr,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:08:12 UTC,2025-10-10 13:08:12 UTC
*.loctitesuperbond.ro,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:08:47 UTC,2025-10-10 13:08:47 UTC
*.loctitesupercola3.com,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:09:31 UTC,2025-10-10 13:09:31 UTC
*.loctite-superglue.ro,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:09:55 UTC,2025-10-10 13:09:55 UTC
*.loctitesuperglue-3.com,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:10:38 UTC,2025-10-10 13:10:38 UTC
*.loctite-superkleber.at,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:11:00 UTC,2025-10-10 13:11:00 UTC
*.loctitesuperlepak.mk,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:11:27 UTC,2025-10-10 13:11:27 UTC
*.loctitesuperlepak.rs,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:11:46 UTC,2025-10-10 13:11:46 UTC
*.loctite-superljepilo.ba,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:12:07 UTC,2025-10-10 13:12:07 UTC
*.mobile.3090.loctite.es,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:12:48 UTC,2025-10-10 13:12:48 UTC
*.mobile.3090.loctite.it,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:13:10 UTC,2025-10-10 13:13:10 UTC
*.print-your-electronics-with-loctite.com,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:13:46 UTC,2025-10-10 13:13:46 UTC
*.proloctite.com,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:14:10 UTC,2025-10-10 13:14:10 UTC
*.tryloctite.in,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:15:06 UTC,2025-10-10 13:15:06 UTC
*.devacurl.com,WILDCARD,,false,true,,,,critical,,2025-11-21 03:50:29 UTC,2025-11-21 03:50:29 UTC
*.sealforlife.com,WILDCARD,"",false,true,,,,critical,,2025-12-11 11:34:12 UTC,2025-12-11 11:34:12 UTC
